ID;REGIONAL_GESTOR;REGIONAL;FAMILIA;PERIODO;VALOR;ORIGEM_PLANO;CICLO;REVISAO
CONSTRUTORA 2-01 - TUBOS ELETRODUTOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;33445,891961382375;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-02 - CONEXOES KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;02 - CONEXOES KRONA;2026-09-01;124692,92265699116;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-03 - ACESSORIOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;03 - ACESSORIOS KRONA;2026-09-01;4406,640622568094;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-04 - PRODUTOS REVENDA-SET26;CONSTRUTORA;CONSTRUTORA 2;04 - PRODUTOS REVENDA;2026-09-01;14595,008379219535;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-29 - PPR-SET26;CONSTRUTORA;CONSTRUTORA 2;29 - PPR;2026-09-01;7611,649927803626;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;108008,63366390407;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-31 - CPVC ULTRATERM-SET26;CONSTRUTORA;CONSTRUTORA 2;31 - CPVC ULTRATERM;2026-09-01;4251,758548067393;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-00 - TUBOS PVC KRONA-SET26;EXPORTACAO;EXPORTACAO;00 - TUBOS PVC KRONA;2026-09-01;15000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-01 - TUBOS ELETRODUTOS KRONA-SET26;EXPORTACAO;EXPORTACAO;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;46,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-02 - CONEXOES KRONA-SET26;EXPORTACAO;EXPORTACAO;02 - CONEXOES KRONA;2026-09-01;74000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-03 - ACESSORIOS KRONA-SET26;EXPORTACAO;EXPORTACAO;03 - ACESSORIOS KRONA;2026-09-01;14918,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-04 - PRODUTOS REVENDA-SET26;EXPORTACAO;EXPORTACAO;04 - PRODUTOS REVENDA;2026-09-01;354,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;EXPORTACAO;EXPORTACAO;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;2667,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
EXPORTACAO-31 - CPVC ULTRATERM-SET26;EXPORTACAO;EXPORTACAO;31 - CPVC ULTRATERM;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-00 - TUBOS PVC KRONA-SET26;IRRIGACAO;IRRIGACAO 1;00 - TUBOS PVC KRONA;2026-09-01;11000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-01 - TUBOS ELETRODUTOS KRONA-SET26;IRRIGACAO;IRRIGACAO 1;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;50,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-02 - CONEXOES KRONA-SET26;IRRIGACAO;IRRIGACAO 1;02 - CONEXOES KRONA;2026-09-01;4800,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-03 - ACESSORIOS KRONA-SET26;IRRIGACAO;IRRIGACAO 1;03 - ACESSORIOS KRONA;2026-09-01;104,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-04 - PRODUTOS REVENDA-SET26;IRRIGACAO;IRRIGACAO 1;04 - PRODUTOS REVENDA;2026-09-01;175,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-29 - PPR-SET26;IRRIGACAO;IRRIGACAO 1;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;IRRIGACAO;IRRIGACAO 1;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;40,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 1-31 - CPVC ULTRATERM-SET26;IRRIGACAO;IRRIGACAO 1;31 - CPVC ULTRATERM;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-00 - TUBOS PVC KRONA-SET26;IRRIGACAO;IRRIGACAO 2;00 - TUBOS PVC KRONA;2026-09-01;5461,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-01 - TUBOS ELETRODUTOS KRONA-SET26;IRRIGACAO;IRRIGACAO 2;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;82,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-02 - CONEXOES KRONA-SET26;IRRIGACAO;IRRIGACAO 2;02 - CONEXOES KRONA;2026-09-01;3266,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-03 - ACESSORIOS KRONA-SET26;IRRIGACAO;IRRIGACAO 2;03 - ACESSORIOS KRONA;2026-09-01;49,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-04 - PRODUTOS REVENDA-SET26;IRRIGACAO;IRRIGACAO 2;04 - PRODUTOS REVENDA;2026-09-01;120,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;IRRIGACAO;IRRIGACAO 2;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;39,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
IRRIGACAO 2-31 - CPVC ULTRATERM-SET26;IRRIGACAO;IRRIGACAO 2;31 - CPVC ULTRATERM;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-00 - TUBOS PVC KRONA-SET26;MINAS RJ/ES;MINAS GERAIS;00 - TUBOS PVC KRONA;2026-09-01;620000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-01 - TUBOS ELETRODUTOS KRONA-SET26;MINAS RJ/ES;MINAS GERAIS;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;11000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-02 - CONEXOES KRONA-SET26;MINAS RJ/ES;MINAS GERAIS;02 - CONEXOES KRONA;2026-09-01;200000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-03 - ACESSORIOS KRONA-SET26;MINAS RJ/ES;MINAS GERAIS;03 - ACESSORIOS KRONA;2026-09-01;59699,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-04 - PRODUTOS REVENDA-SET26;MINAS RJ/ES;MINAS GERAIS;04 - PRODUTOS REVENDA;2026-09-01;17500,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-29 - PPR-SET26;MINAS RJ/ES;MINAS GERAIS;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;MINAS RJ/ES;MINAS GERAIS;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;115000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
MINAS GERAIS-31 - CPVC ULTRATERM-SET26;MINAS RJ/ES;MINAS GERAIS;31 - CPVC ULTRATERM;2026-09-01;8076,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-00 - TUBOS PVC KRONA-SET26;MINAS RJ/ES;RJ/ES;00 - TUBOS PVC KRONA;2026-09-01;300000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-01 - TUBOS ELETRODUTOS KRONA-SET26;MINAS RJ/ES;RJ/ES;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;1807,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-02 - CONEXOES KRONA-SET26;MINAS RJ/ES;RJ/ES;02 - CONEXOES KRONA;2026-09-01;77000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-03 - ACESSORIOS KRONA-SET26;MINAS RJ/ES;RJ/ES;03 - ACESSORIOS KRONA;2026-09-01;20000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-04 - PRODUTOS REVENDA-SET26;MINAS RJ/ES;RJ/ES;04 - PRODUTOS REVENDA;2026-09-01;2600,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-29 - PPR-SET26;MINAS RJ/ES;RJ/ES;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;MINAS RJ/ES;RJ/ES;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;20000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
RJ/ES-31 - CPVC ULTRATERM-SET26;MINAS RJ/ES;RJ/ES;31 - CPVC ULTRATERM;2026-09-01;1800,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-00 - TUBOS PVC KRONA-SET26;NORDESTE;NORDESTE 1;00 - TUBOS PVC KRONA;2026-09-01;176427,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-01 - TUBOS ELETRODUTOS KRONA-SET26;NORDESTE;NORDESTE 1;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;10345,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-02 - CONEXOES KRONA-SET26;NORDESTE;NORDESTE 1;02 - CONEXOES KRONA;2026-09-01;41509,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-03 - ACESSORIOS KRONA-SET26;NORDESTE;NORDESTE 1;03 - ACESSORIOS KRONA;2026-09-01;7772,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-04 - PRODUTOS REVENDA-SET26;NORDESTE;NORDESTE 1;04 - PRODUTOS REVENDA;2026-09-01;1363,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-29 - PPR-SET26;NORDESTE;NORDESTE 1;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;NORDESTE;NORDESTE 1;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;15948,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 1-31 - CPVC ULTRATERM-SET26;NORDESTE;NORDESTE 1;31 - CPVC ULTRATERM;2026-09-01;146,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-00 - TUBOS PVC KRONA-SET26;NORDESTE;NORDESTE 2;00 - TUBOS PVC KRONA;2026-09-01;1000000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-01 - TUBOS ELETRODUTOS KRONA-SET26;NORDESTE;NORDESTE 2;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;38446,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-02 - CONEXOES KRONA-SET26;NORDESTE;NORDESTE 2;02 - CONEXOES KRONA;2026-09-01;190000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-03 - ACESSORIOS KRONA-SET26;NORDESTE;NORDESTE 2;03 - ACESSORIOS KRONA;2026-09-01;30000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-04 - PRODUTOS REVENDA-SET26;NORDESTE;NORDESTE 2;04 - PRODUTOS REVENDA;2026-09-01;3000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-29 - PPR-SET26;NORDESTE;NORDESTE 2;29 - PPR;2026-09-01;20,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;NORDESTE;NORDESTE 2;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;70000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 2-31 - CPVC ULTRATERM-SET26;NORDESTE;NORDESTE 2;31 - CPVC ULTRATERM;2026-09-01;700,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-00 - TUBOS PVC KRONA-SET26;NORDESTE;NORDESTE 3;00 - TUBOS PVC KRONA;2026-09-01;822190,38;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-01 - TUBOS ELETRODUTOS KRONA-SET26;NORDESTE;NORDESTE 3;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;35503,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-02 - CONEXOES KRONA-SET26;NORDESTE;NORDESTE 3;02 - CONEXOES KRONA;2026-09-01;153233,58000000002;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-03 - ACESSORIOS KRONA-SET26;NORDESTE;NORDESTE 3;03 - ACESSORIOS KRONA;2026-09-01;24842,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-04 - PRODUTOS REVENDA-SET26;NORDESTE;NORDESTE 3;04 - PRODUTOS REVENDA;2026-09-01;2537,85;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-29 - PPR-SET26;NORDESTE;NORDESTE 3;29 - PPR;2026-09-01;27,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;NORDESTE;NORDESTE 3;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;80000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORDESTE 3-31 - CPVC ULTRATERM-SET26;NORDESTE;NORDESTE 3;31 - CPVC ULTRATERM;2026-09-01;517,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-00 - TUBOS PVC KRONA-SET26;SP;SAO PAULO CAPITAL;00 - TUBOS PVC KRONA;2026-09-01;205479,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-01 - TUBOS ELETRODUTOS KRONA-SET26;SP;SAO PAULO CAPITAL;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;895,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-02 - CONEXOES KRONA-SET26;SP;SAO PAULO CAPITAL;02 - CONEXOES KRONA;2026-09-01;59790,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-03 - ACESSORIOS KRONA-SET26;SP;SAO PAULO CAPITAL;03 - ACESSORIOS KRONA;2026-09-01;9897,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-04 - PRODUTOS REVENDA-SET26;SP;SAO PAULO CAPITAL;04 - PRODUTOS REVENDA;2026-09-01;4417,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-29 - PPR-SET26;SP;SAO PAULO CAPITAL;29 - PPR;2026-09-01;84,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;SP;SAO PAULO CAPITAL;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;19107,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL-31 - CPVC ULTRATERM-SET26;SP;SAO PAULO CAPITAL;31 - CPVC ULTRATERM;2026-09-01;1075,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-00 - TUBOS PVC KRONA-SET26;SP;SAO PAULO CAPITAL 2;00 - TUBOS PVC KRONA;2026-09-01;320000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-01 - TUBOS ELETRODUTOS KRONA-SET26;SP;SAO PAULO CAPITAL 2;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;150,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-02 - CONEXOES KRONA-SET26;SP;SAO PAULO CAPITAL 2;02 - CONEXOES KRONA;2026-09-01;100000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-03 - ACESSORIOS KRONA-SET26;SP;SAO PAULO CAPITAL 2;03 - ACESSORIOS KRONA;2026-09-01;14150,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-04 - PRODUTOS REVENDA-SET26;SP;SAO PAULO CAPITAL 2;04 - PRODUTOS REVENDA;2026-09-01;5500,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;SP;SAO PAULO CAPITAL 2;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;15000,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO CAPITAL 2-31 - CPVC ULTRATERM-SET26;SP;SAO PAULO CAPITAL 2;31 - CPVC ULTRATERM;2026-09-01;1677,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-00 - TUBOS PVC KRONA-SET26;SP;SAO PAULO INTERIOR;00 - TUBOS PVC KRONA;2026-09-01;386979,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-01 - TUBOS ELETRODUTOS KRONA-SET26;SP;SAO PAULO INTERIOR;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;496,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-02 - CONEXOES KRONA-SET26;SP;SAO PAULO INTERIOR;02 - CONEXOES KRONA;2026-09-01;76938,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-03 - ACESSORIOS KRONA-SET26;SP;SAO PAULO INTERIOR;03 - ACESSORIOS KRONA;2026-09-01;10350,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-04 - PRODUTOS REVENDA-SET26;SP;SAO PAULO INTERIOR;04 - PRODUTOS REVENDA;2026-09-01;5149,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-29 - PPR-SET26;SP;SAO PAULO INTERIOR;29 - PPR;2026-09-01;33,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;SP;SAO PAULO INTERIOR;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;23630,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
SAO PAULO INTERIOR-31 - CPVC ULTRATERM-SET26;SP;SAO PAULO INTERIOR;31 - CPVC ULTRATERM;2026-09-01;3574,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-00 - TUBOS PVC KRONA-SET26;SUL;PARANA;00 - TUBOS PVC KRONA;2026-09-01;186168,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-01 - TUBOS ELETRODUTOS KRONA-SET26;SUL;PARANA;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;486,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-02 - CONEXOES KRONA-SET26;SUL;PARANA;02 - CONEXOES KRONA;2026-09-01;46065,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-03 - ACESSORIOS KRONA-SET26;SUL;PARANA;03 - ACESSORIOS KRONA;2026-09-01;5718,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-04 - PRODUTOS REVENDA-SET26;SUL;PARANA;04 - PRODUTOS REVENDA;2026-09-01;2938,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
PARANA-29 - PPR-SET26;SUL;PARANA;29 - PPR;2026-09-01;166,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
