FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;PERIODO;VOL_PREV;ID
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-01-01;376113,20;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JAN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-02-01;454710,29;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|FEV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-03-01;454492,28;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-04-01;460564,69;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|ABR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-05-01;436969,17;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAI27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-06-01;483824,85;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-07-01;462446,22;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUL27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-08-01;448150,18;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|AGO27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-09-01;516634,16;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|SET27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-10-01;517088,07;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|OUT27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-11-01;495420,24;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|NOV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-12-01;542872,71;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|DEZ27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-01-01;109,79;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JAN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-02-01;126,87;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|FEV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-03-01;124,45;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-04-01;132,60;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|ABR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-05-01;99,91;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAI27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-06-01;120,47;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-07-01;128,95;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUL27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-08-01;112,52;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|AGO27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-09-01;130,62;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|SET27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-10-01;123,77;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|OUT27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-11-01;111,11;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|NOV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-12-01;120,63;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|DEZ27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-01-01;161697,53;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JAN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-02-01;194396,31;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|FEV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-03-01;194599,24;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-04-01;198287,48;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|ABR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-05-01;187492,47;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAI27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-06-01;202136,09;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-07-01;196107,06;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUL27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-08-01;193380,05;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|AGO27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-09-01;214502,48;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|SET27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-10-01;216804,72;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|OUT27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-11-01;209271,87;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|NOV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2027-12-01;227460,28;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|DEZ27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-01-01;175365,56;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-02-01;182378,24;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-03-01;183000,97;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-04-01;183076,43;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-05-01;186018,13;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-06-01;190231,66;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-07-01;186357,12;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-08-01;195704,28;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-09-01;197569,92;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|SET27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-10-01;202369,56;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|OUT27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-11-01;202185,44;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|NOV27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2027-12-01;205217,76;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|DEZ27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-01-01;6,98;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JAN27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-02-01;7,04;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|FEV27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-03-01;7,08;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAR27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-04-01;7,20;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|ABR27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-05-01;6,70;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAI27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-06-01;6,58;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUN27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-07-01;5,97;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUL27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-08-01;5,82;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|AGO27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-09-01;5,88;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|SET27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-10-01;5,92;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|OUT27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-11-01;5,97;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|NOV27
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;2027-12-01;6,01;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|DEZ27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-01-01;380054,60;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-02-01;397655,40;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-03-01;413026,25;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-04-01;425061,83;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-05-01;357892,28;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-06-01;360698,54;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-07-01;349082,00;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-08-01;374370,86;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-09-01;368941,49;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|SET27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-10-01;372829,04;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|OUT27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-11-01;375046,79;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|NOV27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2027-12-01;380055,97;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|DEZ27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-01-01;129,45;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|JAN27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-02-01;132,73;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|FEV27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-03-01;134,96;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|MAR27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-04-01;136,71;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|ABR27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-05-01;130,44;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|MAI27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-06-01;131,07;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|JUN27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-07-01;130,61;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|JUL27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-08-01;133,40;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|AGO27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-09-01;133,77;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|SET27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-10-01;134,31;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|OUT27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-11-01;135,51;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|NOV27
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2027-12-01;135,75;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|DEZ27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-01-01;11671,15;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-02-01;9897,36;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-03-01;11530,72;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-04-01;12548,33;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-05-01;11616,73;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-06-01;13846,04;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-07-01;12993,56;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-08-01;10412,85;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-09-01;12667,93;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|SET27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-10-01;15327,10;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|OUT27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-11-01;12450,35;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|NOV27
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2027-12-01;18918,62;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA|DEZ27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-01-01;109864,71;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-02-01;149377,61;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-03-01;137146,14;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-04-01;142283,99;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-05-01;136950,39;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-06-01;140953,57;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-07-01;132634,09;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-08-01;148954,32;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-09-01;138563,00;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|SET27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-10-01;143783,39;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|OUT27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-11-01;135945,88;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|NOV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;2027-12-01;156117,24;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA|DEZ27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-01-01;27,12;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|JAN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-02-01;35,90;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|FEV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-03-01;32,68;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|MAR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-04-01;33,55;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|ABR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-05-01;31,64;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|MAI27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-06-01;32,11;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|JUN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-07-01;30,40;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|JUL27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-08-01;34,06;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|AGO27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-09-01;31,87;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|SET27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-10-01;33,59;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|OUT27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-11-01;31,29;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|NOV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;2027-12-01;34,78;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS|DEZ27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-01-01;9,90;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|JAN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-02-01;14,70;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|FEV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-03-01;12,85;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|MAR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-04-01;13,20;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|ABR27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-05-01;12,37;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|MAI27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-06-01;12,70;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|JUN27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-07-01;11,92;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|JUL27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-08-01;13,83;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|AGO27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-09-01;12,51;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|SET27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-10-01;13,58;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|OUT27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-11-01;12,06;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|NOV27
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;2027-12-01;13,97;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO|DEZ27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-01-01;38353,10;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-02-01;59037,05;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-03-01;55733,49;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-04-01;54705,50;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-05-01;47231,25;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-06-01;45463,54;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-07-01;46857,79;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-08-01;49251,93;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-09-01;46836,08;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|SET27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-10-01;56263,37;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|OUT27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-11-01;45825,63;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|NOV27
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;2027-12-01;45906,12;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|DEZ27
