FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;MEDIA_VOL_VENDA_12M;MEDIA_VAL_VENDA_12M;RS_KG;ID
29 - PPR;CONSTR NORDESTE;CONSTRUTORA;OUTROS;88,27;5516,12;62,49;CONSTR NORDESTE|29 - PPR|OUTROS
29 - PPR;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;64,39;9647,20;149,83;CONSTR NORTE|29 - PPR|CONSTRUTORA
29 - PPR;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;433,26;19374,20;44,72;CONSTR SAO PAULO|29 - PPR|CONSTRUTORA
29 - PPR;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;363,05;19957,97;54,97;CONSTR SUDESTE|29 - PPR|CONSTRUTORA
29 - PPR;CONSTR SUL;CONSTRUTORA;CONSTRUTORA;7377,81;359797,07;48,77;CONSTR SUL|29 - PPR|CONSTRUTORA
29 - PPR;IRRIGACAO 1;IRRIGACAO;IRRIGACAO;35,27;2100,65;59,56;IRRIGACAO 1|29 - PPR|IRRIGACAO
29 - PPR;MINAS GERAIS;MINAS RJ/ES;VAREJO;16,94;1382,00;81,60;MINAS GERAIS|29 - PPR|VAREJO
29 - PPR;NORDESTE 1;NORDESTE;VAREJO;36,54;4025,77;110,18;NORDESTE 1|29 - PPR|VAREJO
29 - PPR;NORDESTE 2;NORDESTE;VAREJO;17,60;1217,12;69,14;NORDESTE 2|29 - PPR|VAREJO
29 - PPR;NORDESTE 3;NORDESTE;ATACADO;0,18;28,80;156,92;NORDESTE 3|29 - PPR|ATACADO
29 - PPR;NORDESTE 3;NORDESTE;OUTROS;37,52;1814,65;48,37;NORDESTE 3|29 - PPR|OUTROS
29 - PPR;NORDESTE 3;NORDESTE;VAREJO;18,20;1347,51;74,06;NORDESTE 3|29 - PPR|VAREJO
29 - PPR;NORTE;CO NO;VAREJO;13,46;792,83;58,90;NORTE|29 - PPR|VAREJO
29 - PPR;PARANA;SUL;ATACADO;91,15;4009,69;43,99;PARANA|29 - PPR|ATACADO
29 - PPR;PARANA;SUL;VAREJO;218,18;13085,50;59,98;PARANA|29 - PPR|VAREJO
29 - PPR;RIO GRANDE DO SUL;SUL;ATACADO;901,73;40493,61;44,91;RIO GRANDE DO SUL|29 - PPR|ATACADO
29 - PPR;RIO GRANDE DO SUL;SUL;OUTROS;25,78;1835,67;71,21;RIO GRANDE DO SUL|29 - PPR|OUTROS
29 - PPR;RIO GRANDE DO SUL;SUL;VAREJO;1208,74;70019,28;57,93;RIO GRANDE DO SUL|29 - PPR|VAREJO
29 - PPR;RJ/ES;MINAS RJ/ES;VAREJO;10,81;485,42;44,92;RJ/ES|29 - PPR|VAREJO
29 - PPR;SANTA CATARINA 01;SUL;ATACADO;426,98;21621,75;50,64;SANTA CATARINA 01|29 - PPR|ATACADO
29 - PPR;SANTA CATARINA 01;SUL;VAREJO;575,59;34243,39;59,49;SANTA CATARINA 01|29 - PPR|VAREJO
29 - PPR;SANTA CATARINA 02;SUL;ATACADO;385,30;16084,45;41,75;SANTA CATARINA 02|29 - PPR|ATACADO
29 - PPR;SANTA CATARINA 02;SUL;VAREJO;497,36;26606,28;53,49;SANTA CATARINA 02|29 - PPR|VAREJO
29 - PPR;SAO PAULO CAPITAL;SP;VAREJO;91,07;9511,93;104,44;SAO PAULO CAPITAL|29 - PPR|VAREJO
29 - PPR;SAO PAULO INTERIOR;SP;VAREJO;22,12;1901,52;85,98;SAO PAULO INTERIOR|29 - PPR|VAREJO
29 - PPR;TELEVENDAS;TELEVENDAS;OUTROS;15,75;3127,59;198,63;TELEVENDAS|29 - PPR|OUTROS
29 - PPR;TELEVENDAS;TELEVENDAS;VAREJO;89,76;5846,90;65,14;TELEVENDAS|29 - PPR|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;CENTRO OESTE;CO NO;ATACADO;67551,75;870818,87;12,89;CENTRO OESTE|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;CENTRO OESTE;CO NO;VAREJO;22611,51;326929,51;14,46;CENTRO OESTE|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;30478,07;447229,51;14,67;CONSTR CENTRO OESTE|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;VAREJO;399,00;7590,00;19,02;CONSTR CENTRO OESTE|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;53705,30;968706,00;18,04;CONSTR NORDESTE|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;191,42;4410,18;23,04;CONSTR NORDESTE|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;2231,21;39961,64;17,91;CONSTR NORTE|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;34883,22;553005,95;15,85;CONSTR SAO PAULO|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;3,26;68,85;21,12;CONSTR SAO PAULO|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;20952,79;308161,16;14,71;CONSTR SUDESTE|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR SUL;CONSTRUTORA;CONSTRUTORA;38478,03;609373,44;15,84;CONSTR SUL|30 - ELETRODUTOS CORRUGADOS KRONA|CONSTRUTORA
30 - ELETRODUTOS CORRUGADOS KRONA;CONSTR SUL;CONSTRUTORA;OUTROS;127,92;2351,35;18,38;CONSTR SUL|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;EXPORTACAO;EXPORTACAO;EXPORTACAO;2165,24;22952,53;10,60;EXPORTACAO|30 - ELETRODUTOS CORRUGADOS KRONA|EXPORTACAO
30 - ELETRODUTOS CORRUGADOS KRONA;EXPORTACAO;EXPORTACAO;VAREJO;4128,00;44681,12;10,82;EXPORTACAO|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;IRRIGACAO 1;IRRIGACAO;IRRIGACAO;87,88;1548,15;17,62;IRRIGACAO 1|30 - ELETRODUTOS CORRUGADOS KRONA|IRRIGACAO
30 - ELETRODUTOS CORRUGADOS KRONA;IRRIGACAO 1;IRRIGACAO;VAREJO;45,28;716,88;15,83;IRRIGACAO 1|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;IRRIGACAO 2;IRRIGACAO;IRRIGACAO;61,10;1360,21;22,26;IRRIGACAO 2|30 - ELETRODUTOS CORRUGADOS KRONA|IRRIGACAO
30 - ELETRODUTOS CORRUGADOS KRONA;MINAS GERAIS;MINAS RJ/ES;ATACADO;76903,90;1014100,13;13,19;MINAS GERAIS|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;MINAS GERAIS;MINAS RJ/ES;OUTROS;143,88;2731,25;18,98;MINAS GERAIS|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;MINAS GERAIS;MINAS RJ/ES;VAREJO;29182,06;454372,32;15,57;MINAS GERAIS|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 1;NORDESTE;ATACADO;9963,52;143173,30;14,37;NORDESTE 1|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 1;NORDESTE;OUTROS;282,75;4164,25;14,73;NORDESTE 1|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 1;NORDESTE;VAREJO;7599,55;119799,14;15,76;NORDESTE 1|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 2;NORDESTE;ATACADO;27304,83;385363,06;14,11;NORDESTE 2|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 2;NORDESTE;OUTROS;91,20;1720,00;18,86;NORDESTE 2|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 2;NORDESTE;VAREJO;11919,02;196493,34;16,49;NORDESTE 2|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 3;NORDESTE;ATACADO;36859,23;546403,47;14,82;NORDESTE 3|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 3;NORDESTE;OUTROS;18,72;340,85;18,21;NORDESTE 3|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;NORDESTE 3;NORDESTE;VAREJO;25953,80;422190,84;16,27;NORDESTE 3|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;NORTE;CO NO;ATACADO;6932,40;103333,89;14,91;NORTE|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;NORTE;CO NO;VAREJO;16310,55;275926,81;16,92;NORTE|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;PARANA;SUL;ATACADO;4523,48;70138,26;15,51;PARANA|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;PARANA;SUL;OUTROS;14,99;332,61;22,19;PARANA|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;PARANA;SUL;VAREJO;16081,61;271196,54;16,86;PARANA|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;RIO GRANDE DO SUL;SUL;ATACADO;12823,85;180532,30;14,08;RIO GRANDE DO SUL|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;RIO GRANDE DO SUL;SUL;OUTROS;110,60;2175,50;19,67;RIO GRANDE DO SUL|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;RIO GRANDE DO SUL;SUL;VAREJO;8212,71;143683,76;17,50;RIO GRANDE DO SUL|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;RJ/ES;MINAS RJ/ES;ATACADO;12098,37;168278,33;13,91;RJ/ES|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;RJ/ES;MINAS RJ/ES;OUTROS;182,60;2649,73;14,51;RJ/ES|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;RJ/ES;MINAS RJ/ES;VAREJO;7567,78;118799,85;15,70;RJ/ES|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 01;SUL;ATACADO;3303,31;49755,70;15,06;SANTA CATARINA 01|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 01;SUL;OUTROS;17,89;292,90;16,37;SANTA CATARINA 01|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 01;SUL;VAREJO;4889,68;82848,30;16,94;SANTA CATARINA 01|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 02;SUL;ATACADO;3945,92;63744,33;16,15;SANTA CATARINA 02|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 02;SUL;OUTROS;17,62;289,65;16,44;SANTA CATARINA 02|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;SANTA CATARINA 02;SUL;VAREJO;10469,12;171591,31;16,39;SANTA CATARINA 02|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO CAPITAL;SP;ATACADO;156,71;2562,15;16,35;SAO PAULO CAPITAL|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO CAPITAL;SP;OUTROS;126,50;2362,00;18,67;SAO PAULO CAPITAL|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO CAPITAL;SP;VAREJO;11514,95;186148,89;16,17;SAO PAULO CAPITAL|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO CAPITAL 2;SP;ATACADO;8625,55;134660,06;15,61;SAO PAULO CAPITAL 2|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO INTERIOR;SP;ATACADO;5056,08;78748,32;15,57;SAO PAULO INTERIOR|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO INTERIOR;SP;OUTROS;246,65;4834,30;19,60;SAO PAULO INTERIOR|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;SAO PAULO INTERIOR;SP;VAREJO;12474,46;212383,28;17,03;SAO PAULO INTERIOR|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
30 - ELETRODUTOS CORRUGADOS KRONA;TELEVENDAS;TELEVENDAS;ATACADO;1560,00;21690,00;13,90;TELEVENDAS|30 - ELETRODUTOS CORRUGADOS KRONA|ATACADO
30 - ELETRODUTOS CORRUGADOS KRONA;TELEVENDAS;TELEVENDAS;OUTROS;34,66;622,69;17,97;TELEVENDAS|30 - ELETRODUTOS CORRUGADOS KRONA|OUTROS
30 - ELETRODUTOS CORRUGADOS KRONA;TELEVENDAS;TELEVENDAS;VAREJO;6467,87;108603,90;16,79;TELEVENDAS|30 - ELETRODUTOS CORRUGADOS KRONA|VAREJO
31 - CPVC ULTRATERM;CENTRO OESTE;CO NO;ATACADO;2145,46;80946,25;37,73;CENTRO OESTE|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;CENTRO OESTE;CO NO;VAREJO;1114,58;62109,73;55,72;CENTRO OESTE|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;1319,43;78666,73;59,62;CONSTR CENTRO OESTE|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2424,03;137479,98;56,72;CONSTR NORDESTE|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;416,22;28123,92;67,57;CONSTR NORTE|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;624,57;34283,24;54,89;CONSTR SAO PAULO|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;21,12;1248,41;59,11;CONSTR SAO PAULO|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;1821,67;75198,20;41,28;CONSTR SUDESTE|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;CONSTR SUL;CONSTRUTORA;CONSTRUTORA;2720,47;125294,41;46,06;CONSTR SUL|31 - CPVC ULTRATERM|CONSTRUTORA
31 - CPVC ULTRATERM;EXPORTACAO;EXPORTACAO;EXPORTACAO;0,82;486,47;592,18;EXPORTACAO|31 - CPVC ULTRATERM|EXPORTACAO
31 - CPVC ULTRATERM;IRRIGACAO 1;IRRIGACAO;IRRIGACAO;60,39;2753,57;45,60;IRRIGACAO 1|31 - CPVC ULTRATERM|IRRIGACAO
31 - CPVC ULTRATERM;IRRIGACAO 2;IRRIGACAO;IRRIGACAO;28,41;1781,82;62,72;IRRIGACAO 2|31 - CPVC ULTRATERM|IRRIGACAO
31 - CPVC ULTRATERM;MINAS GERAIS;MINAS RJ/ES;ATACADO;10181,62;392361,68;38,54;MINAS GERAIS|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;MINAS GERAIS;MINAS RJ/ES;OUTROS;46,18;2479,00;53,69;MINAS GERAIS|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;MINAS GERAIS;MINAS RJ/ES;VAREJO;2725,28;124052,88;45,52;MINAS GERAIS|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;NORDESTE 1;NORDESTE;ATACADO;15,73;1182,68;75,18;NORDESTE 1|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;NORDESTE 1;NORDESTE;OUTROS;42,92;4202,29;97,90;NORDESTE 1|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;NORDESTE 1;NORDESTE;VAREJO;269,18;18464,33;68,59;NORDESTE 1|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;NORDESTE 2;NORDESTE;ATACADO;182,28;9736,28;53,42;NORDESTE 2|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;NORDESTE 2;NORDESTE;OUTROS;131,00;8260,20;63,05;NORDESTE 2|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;NORDESTE 2;NORDESTE;VAREJO;339,08;25079,28;73,96;NORDESTE 2|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;NORDESTE 3;NORDESTE;ATACADO;427,64;21408,87;50,06;NORDESTE 3|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;NORDESTE 3;NORDESTE;OUTROS;41,43;2646,20;63,87;NORDESTE 3|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;NORDESTE 3;NORDESTE;VAREJO;125,26;7118,69;56,83;NORDESTE 3|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;NORTE;CO NO;ATACADO;41,79;4020,89;96,22;NORTE|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;NORTE;CO NO;VAREJO;184,18;11915,82;64,70;NORTE|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;PARANA;SUL;ATACADO;222,39;9209,50;41,41;PARANA|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;PARANA;SUL;OUTROS;13,81;2162,94;156,58;PARANA|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;PARANA;SUL;VAREJO;817,85;41833,09;51,15;PARANA|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;RIO GRANDE DO SUL;SUL;ATACADO;1326,27;52174,69;39,34;RIO GRANDE DO SUL|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;RIO GRANDE DO SUL;SUL;OUTROS;35,11;1695,81;48,30;RIO GRANDE DO SUL|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;RIO GRANDE DO SUL;SUL;VAREJO;894,59;38324,62;42,84;RIO GRANDE DO SUL|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;RJ/ES;MINAS RJ/ES;ATACADO;1086,11;48436,44;44,60;RJ/ES|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;RJ/ES;MINAS RJ/ES;OUTROS;104,91;4759,77;45,37;RJ/ES|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;RJ/ES;MINAS RJ/ES;VAREJO;668,38;34100,33;51,02;RJ/ES|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;SANTA CATARINA 01;SUL;ATACADO;497,67;19645,04;39,47;SANTA CATARINA 01|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;SANTA CATARINA 01;SUL;OUTROS;20,09;2737,87;136,30;SANTA CATARINA 01|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;SANTA CATARINA 01;SUL;VAREJO;451,21;21026,90;46,60;SANTA CATARINA 01|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;SANTA CATARINA 02;SUL;ATACADO;934,26;40624,56;43,48;SANTA CATARINA 02|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;SANTA CATARINA 02;SUL;VAREJO;831,21;38838,21;46,73;SANTA CATARINA 02|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;SAO PAULO CAPITAL;SP;ATACADO;146,13;6664,43;45,60;SAO PAULO CAPITAL|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;SAO PAULO CAPITAL;SP;VAREJO;701,38;39798,81;56,74;SAO PAULO CAPITAL|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;SAO PAULO CAPITAL 2;SP;ATACADO;1683,63;78123,00;46,40;SAO PAULO CAPITAL 2|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;SAO PAULO INTERIOR;SP;ATACADO;787,10;34536,80;43,88;SAO PAULO INTERIOR|31 - CPVC ULTRATERM|ATACADO
31 - CPVC ULTRATERM;SAO PAULO INTERIOR;SP;OUTROS;142,43;7715,41;54,17;SAO PAULO INTERIOR|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;SAO PAULO INTERIOR;SP;VAREJO;1434,94;71828,62;50,06;SAO PAULO INTERIOR|31 - CPVC ULTRATERM|VAREJO
31 - CPVC ULTRATERM;TELEVENDAS;TELEVENDAS;OUTROS;22,19;1976,19;89,04;TELEVENDAS|31 - CPVC ULTRATERM|OUTROS
31 - CPVC ULTRATERM;TELEVENDAS;TELEVENDAS;VAREJO;471,62;27950,06;59,26;TELEVENDAS|31 - CPVC ULTRATERM|VAREJO
